ID,MENSAGEM,DATA_CRIACAO,TIPO_ORIGEM,ID_PAI,ID_USUARIO,NOME_USUARIO
1557596627842637_1884217331847230,"Uma novidade incrível acaba de chegar, afinal, Marthina Brandt agora tem um canal na plataforma mais famosa da Internet, o YouTube. O primeiro vídeo é curtinho mas já deixa claro que será mais um projeto de sucesso! Então se inscrevam no canal e compartilhem essa ideia! <3
https://m.youtube.com/#/channel/UCketCYen8CmCeLsuPei4vFA",2016-11-05T14:45:33+0000,Pagina,---,1557596627842637,Melisseiros
1884217331847230_1884219175180379,Amei o vídeo! Esse canal vai ser sucesso 😍😍😍,2016-11-05T14:49:44+0000,Usuario,1557596627842637_1884217331847230,955374817939309,Izzy Shay
1884217331847230_1884279595174337,E linda,2016-11-05T15:27:15+0000,Usuario,1557596627842637_1884217331847230,892117904255427,Rose Maria
1557596627842637_1883879328547697,"Marque a Miss que você gostaria que entrasse ao vivo na Fan Page "" Melisseiros "" pra conversar com vocês semana que vem ?! 😍❤",2016-11-05T01:38:56+0000,Pagina,---,1557596627842637,Melisseiros
1883879328547697_1883879825214314,Priscila Machado 💜,2016-11-05T01:40:30+0000,Usuario,1557596627842637_1883879328547697,1039610102803910,Maycon William
1883879328547697_1883881401880823,Raissa Santana,2016-11-05T01:44:06+0000,Usuario,1557596627842637_1883879328547697,1092700304181321,Felipe Wandergeld Magny
1883879328547697_1883881855214111,Natália Guimarães 😍,2016-11-05T01:44:14+0000,Usuario,1557596627842637_1883879328547697,1216987248360322,Leandro Áquila
1883879328547697_1883882211880742,Rayssa Santana,2016-11-05T01:44:32+0000,Usuario,1557596627842637_1883879328547697,1128591330566177,Jocirlei Felicio
1883879328547697_1883882825214014,MELISSA GURGEL,2016-11-05T01:45:50+0000,Usuario,1557596627842637_1883879328547697,1447009395313941,Renato Costa
1883879328547697_1883884421880521,Melissa,2016-11-05T01:49:02+0000,Usuario,1557596627842637_1883879328547697,1171442422937648,Lizandro Nunes Costa
1883879328547697_1883885028547127,Miss continentes Unidos Nathália Lago 😍😘,2016-11-05T01:50:34+0000,Usuario,1557596627842637_1883879328547697,926445017461792,Jessé Souza
1883879328547697_1883888711880092,Raissa Santana a Miss Brasil,2016-11-05T02:01:01+0000,Usuario,1557596627842637_1883879328547697,991064271002463,Diego SSouza
1883879328547697_1883893941879569,-Jake Oliveira e Gabi Markus.,2016-11-05T02:17:10+0000,Usuario,1557596627842637_1883879328547697,539358559606860,Makeyson Santtos Jr.
1883879328547697_1883896271879336,Todas,2016-11-05T02:24:38+0000,Usuario,1557596627842637_1883879328547697,810820712393898,Oceano Neto
1883879328547697_1883896301879333,😂,2016-11-05T02:24:41+0000,Usuario,1557596627842637_1883879328547697,810820712393898,Oceano Neto
1883879328547697_1883896548545975,Alguém marca a Jake Oliveira 😍,2016-11-05T02:25:22+0000,Usuario,1557596627842637_1883879328547697,1557596627842637,Melisseiros
1883879328547697_1883898048545825,Gaby Marcus,2016-11-05T02:30:57+0000,Usuario,1557596627842637_1883879328547697,1054430328007673,Guilherme Alonso
1883879328547697_1883899331879030,Gabi Markus,2016-11-05T02:36:35+0000,Usuario,1557596627842637_1883879328547697,1438088179552006,Flávia X Valcir
1883879328547697_1883902838545346,#Jake_Oliveira.,2016-11-05T02:49:53+0000,Usuario,1557596627842637_1883879328547697,539358559606860,Makeyson Santtos Jr.
1883879328547697_1883904275211869,Gabriela Markus,2016-11-05T02:50:46+0000,Usuario,1557596627842637_1883879328547697,216104032135511,Isabela Mariano
1883879328547697_1883905671878396,Rayssa Santana,2016-11-05T02:52:03+0000,Usuario,1557596627842637_1883879328547697,1083766725073133,Regis Oliveira
1883879328547697_1883906055211691,Priscila Machado,2016-11-05T02:54:09+0000,Usuario,1557596627842637_1883879328547697,1089235761191379,Ocimar Gomes
1883879328547697_1883907758544854,Gabi Markus,2016-11-05T03:00:09+0000,Usuario,1557596627842637_1883879328547697,10209927456410493,Gustavo Pereira
1883879328547697_1883909428544687,Camilla Dela valle,2016-11-05T03:07:14+0000,Usuario,1557596627842637_1883879328547697,1114608088622958,Rafael Duarte
1883879328547697_1883911815211115,Morgana Carlos ou Melissa Gurgel ❤❤,2016-11-05T03:14:16+0000,Usuario,1557596627842637_1883879328547697,1817013025198277,Narah Pimenta
1883879328547697_1883916015210695,@Raissa Santana,2016-11-05T03:24:44+0000,Usuario,1557596627842637_1883879328547697,991064271002463,Diego SSouza
1883879328547697_1883916558543974,Miss Maranhão que foi escândalo na passarela.,2016-11-05T03:26:04+0000,Usuario,1557596627842637_1883879328547697,685281981622786,Ney Araujo de Souza
1883879328547697_1883930548542575,"Jakelyne, Sancler,  Renata Sena",2016-11-05T04:00:38+0000,Usuario,1557596627842637_1883879328547697,955114644594304,Gustavo Zirke
1883879328547697_1883939325208364,Raissa Santana,2016-11-05T04:24:07+0000,Usuario,1557596627842637_1883879328547697,535419146667026,Micheli Medeiros Silvaa
1883879328547697_1883948175207479,Camilla Dela Vale,2016-11-05T04:49:49+0000,Usuario,1557596627842637_1883879328547697,1093862680727214,Edinho Araujo
1883879328547697_1884054055196891,"Melissa Gurgel, Raissa Santana, Natália Guimarães, Jakeline Oliveira, todaaas ❤🇧🇷",2016-11-05T09:32:19+0000,Usuario,1557596627842637_1883879328547697,1240145676043019,Josiane Veronezi
1883879328547697_1884066181862345,Natália Guimarães,2016-11-05T09:50:51+0000,Usuario,1557596627842637_1883879328547697,1342716319085888,Ariane Christini Almeida
1883879328547697_1884066338528996,Miss Maranhão 2015 Isadora Amorim,2016-11-05T09:51:22+0000,Usuario,1557596627842637_1883879328547697,1342716319085888,Ariane Christini Almeida
1883879328547697_1884093798526250,"Gabriela Fernandes Rossi,Amanda Gomes,Natalia guimaraes,Jakeline Oliveira,Isis stocco,Maxine silva,Deise Nunes",2016-11-05T10:44:20+0000,Usuario,1557596627842637_1883879328547697,10210879327881979,Lu Siqueira Guimarães
1883879328547697_1884099518525678,"Jaqueline Oliveira, Gaby Markus, Paula Gomes, Renata Sena, Fernanda Leme e Jessica Vilela",2016-11-05T10:56:52+0000,Usuario,1557596627842637_1883879328547697,980072415455410,Ismael Ribeiro
1883879328547697_1884133988522231,Priscila Machado ♡♡♡♡,2016-11-05T12:07:44+0000,Usuario,1557596627842637_1883879328547697,1526483117378208,Edmo Santanna
1883879328547697_1884175008518129,Raissa Santana 💞,2016-11-05T13:37:51+0000,Usuario,1557596627842637_1883879328547697,795428913929792,Vallory Link
1883879328547697_1884186531850310,Bruna Zanardo miss terra Brasil,2016-11-05T13:47:28+0000,Usuario,1557596627842637_1883879328547697,1054430328007673,Guilherme Alonso
1557596627842637_1883858675216429,"Bate papo com Marthina Brandt, Miss Brasil 2015!",2016-11-05T00:38:26+0000,Pagina,---,1557596627842637,Melisseiros
