ID,MENSAGEM,DATA_CRIACAO,TIPO_ORIGEM,ID_PAI,ID_USUARIO,NOME_USUARIO
471549966197481_1327465613939241,No message,2016-11-05T18:42:00+0000,Pagina,---,471549966197481,Orgulho de ser preto
1327465613939241_1327781143907688,,2016-11-05T18:45:19+0000,Usuario,471549966197481_1327465613939241,575502655968044,Carlos Viveirosb
1327465613939241_1327780757241060,pois obra do divino espírito santo    lol,2016-11-05T18:44:39+0000,Usuario,471549966197481_1327465613939241,575502655968044,Carlos Viveirosb
471549966197481_1327696903916112,"Eu sempre soube
5 coisas que os homens não reparam na hora H
Se você sempre teve curiosidade em saber, então chegou a hora de descobrir.",2016-11-05T18:22:00+0000,Pagina,---,471549966197481,Orgulho de ser preto
471549966197481_1327762510576218,No message,2016-11-05T18:11:42+0000,Pagina,---,471549966197481,Orgulho de ser preto
471549966197481_1326922207326915,Cute *-*,2016-11-05T18:02:01+0000,Pagina,---,471549966197481,Orgulho de ser preto
1326922207326915_1327777867241349,,2016-11-05T18:38:30+0000,Usuario,471549966197481_1326922207326915,1597634177199150,Jaime Castro
471549966197481_1327585273927275,Veja 12 tatuagens bizarras que você nunca imaginou,2016-11-05T17:42:00+0000,Pagina,---,471549966197481,Orgulho de ser preto
471549966197481_1327679763917826,Na china ‘Porta do Inferno’ surge e apavora população,2016-11-05T17:22:01+0000,Pagina,---,471549966197481,Orgulho de ser preto
1327679763917826_1327756040576865,Bem que a gente podia jogar uns políticos aí dentro né ...😬,2016-11-05T18:03:30+0000,Usuario,471549966197481_1327679763917826,10205785669041306,Gisele Ramos Dos Santos
471549966197481_1327690927250043,No message,2016-11-05T16:58:01+0000,Pagina,---,471549966197481,Orgulho de ser preto
471549966197481_1327459570606512,No message,2016-11-05T16:33:01+0000,Pagina,---,471549966197481,Orgulho de ser preto
471549966197481_1326430737376062,No message,2016-11-05T16:02:01+0000,Pagina,---,471549966197481,Orgulho de ser preto
1326430737376062_1327676473918155,"Milly Santos, Suelen Priscila E assim msm kkkkkkk",2016-11-05T16:27:17+0000,Usuario,471549966197481_1326430737376062,1073412329443239,Michelly Santos
1326430737376062_1327672630585206,Lana Keila kkkk,2016-11-05T16:20:54+0000,Usuario,471549966197481_1326430737376062,370584979940728,Verusa Sousa
